"Bug编号","相关需求","Bug标题","严重程度","优先级","Bug类型","解决者","解决方案","重复ID"
"18060","[新版流量] 新疆-前台需求：文件目录上传(#5871)"," [灵动智溯][新疆][23.03.1.1(RC9)-NGPM 2.0.RC9][离线分析]重名数据包提示优化","4","3","代码错误","徐阳","不予解决","0",""
"18049","[新版流量] 新疆-前台需求：文件目录上传(#5871)","[灵动智溯][新疆][23.03.1.1(RC9)-NGPM 2.0.RC9][离线分析]文件管理中，上传文件夹显示优化","3","3","代码错误","徐阳","不予解决","0",""
"17538",""," [配置中心][NGPM230901RC1][安全管理]添加/修改dns域名时，告警名称长度没做限制","3","3","代码错误","徐阳","已解决","0",""
"16780",""," [配置中心][NGPM230901RC1][拓扑管理]添加/编辑应用/设备/链路拓扑时，节点名称显示不正确","3","3","代码错误","徐阳","设计如此","0",""
"17147",""," [配置中心][NGPM230901RC1][数据接口]语言为英文时，中控下探针信息KPI指标显示错误","4","3","代码错误","徐阳","不予解决","0",""
"17295","","[流量分析][NGPM230901RC1][L7分析]清除DNS详单中过滤查询类型中重复的查询类型和无意义的查询类型","3","3","代码错误","徐阳","重复Bug","[流量分析][NGPM230901RC1[L7分析]DNS详单过滤PTR查询类型有误(17297)",""
"17340","","[流量分析][NGPM230901RC1][L7分析]FTP详单存在数据无法解码","2","4","代码错误","徐阳","重复Bug","[L7分析][22.06.6.3]流量分析-L7分析-DNS分析-DNS详单，选择数据快速解码，在弹窗里修改目的地址，且格式为错误的，弹出弹窗显示有误(14227)",""
"17929","","[应用分析][NGPM1.7][农商银行][生产]应用分析展示时个别IPv6的拓扑不能修改","3","3","代码错误","徐阳","已解决","0",""
"17912","[22.06]上海农商-前台需求：全局搜索：主机、IP会话、TCP、UDP会话支持网段输入，增加IP地址的填写示例(#5524)"," [首页][银河证券][P 22.06.5.3(RC6))] [IP模式] 在IP模式中，输入带小数点的掩码，进行查询，应该报错，不应该出数据","3","3","代码错误","徐阳","已解决","0",""
"17496",""," [配置中心][23.03.1.2-NGPM_2.0_RC3][CPU core配置]CPU core配置会弹出错误的报错信息框","2","2","代码错误","徐阳","无法重现","0",""
"17228","","[流量分析][NGPM230901RC1][建连拆连]点击详单进行解码，解码显示显示无数据","2","3","代码错误","徐阳","已解决","0",""
"14227","","[L7分析][22.06.6.3]流量分析-L7分析-DNS分析-DNS详单，选择数据快速解码，在弹窗里修改目的地址，且格式为错误的，弹出弹窗显示有误","4","3","代码错误","徐阳","已解决","0",""
